Beer,Brewery,Style,YourRating,GlobalRating
Spiked Smoothie Blueberry Lemonade,Connecticut Valley Brewing Company,Fruit Beer,4.25,3.64
Weekend,Prairie Artisan Ales,Stout - Imperial / Double Pastry,4.5,4.36
Talisman,Lua Brewing,Stout - Imperial / Double Pastry,4.5,4.44
Pushpop: Safari Flaps,Lua Brewing,Sour - Fruited,4.75,4.51
Wake the F Up Iowa Toffee,Backpocket Brewing,Stout - Russian Imperial,4,4.1
The Moon's Daughter,Anchorage Brewing Company,IPA - Imperial / Double New England / Hazy,4.25,4.15
Mosaic Extra Extra Juicy Bits,WeldWerks Brewing Co.,IPA - Imperial / Double New England / Hazy,4.5,4.29
Id No. 14,COOP Ale Works,Sour - Fruited,2.75,3.78
Vanilla Bean Ares,River Styx Brewing,Stout - Imperial / Double,3.75,4.07
Contrary Honey Wheat,Contrary Brewing Company,Wheat Beer - Other,2.75,3.8
Proper Pour,Boulevard Brewing Co.,Stout - Imperial / Double,3.5,4.18
Incognito Mode,Anchorage Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.07
Peanut Butter Cup S'mores Absence of Light,4 Hands Brewing Company,Stout - Milk / Sweet,3.5,4.01
Coconut Medianoche (2022),WeldWerks Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.49
MegaMint,Heathen Brewing,Stout - Imperial / Double Milk,,3.9
Some Grace,Lua Brewing,Sour - Fruited,4,4.1
Bourbon Barrel Aged Dark Star: Coffee Edition (2019),Fremont Brewing,Stout - Imperial / Double Oatmeal,3.75,4.35
Des Moines Breakfast Stout,Flix Brewhouse - Des Moines,Stout - Coffee,4,4.04
Damn Fine! Coffee IPA,Flix Brewhouse - Des Moines,IPA - American,3.75,3.75
Coffee Bear,Hop Butcher For The World,Stout - Imperial / Double Coffee,3.75,4.17
Incarnation IPA,4 Hands Brewing Company,IPA - American,3.5,3.81
Bath Bomb: Mango Coconut Marshmallow,Fifth Frame Brewing Co.,Sour - Fruited,4,4.26
Pale Ale,Schlafly - The Saint Louis Brewery,Pale Ale - English,3.25,3.42
"You're My Boy, Blue!",Brew Bus Brewing,Fruit Beer,3.75,3.66
Jai Low,Cigar City Brewing,IPA - Session,2.75,3.54
Margarita Gose,Cigar City Brewing,Sour - Fruited Gose,3.75,3.55
Florida Man,Cigar City Brewing,IPA - Imperial / Double,4.25,3.82
Hard Mountain Dew Original,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.34
Hard Mountain Dew Black Cherry,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.43
11th Anniversary Chocolate & Caramel Stout,Westbrook Brewing Co.,Stout - Imperial / Double Pastry,3.75,3.95
Sin Highway,New Anthem Beer Project,Stout - Imperial / Double,3.75,4.16
Big Bad Baptist Black Forest Cake,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,3.75,3.99
Barrel Aged Oco Noco,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4.75,4.51
Chocolate Mint Stout Aged In Kentucky Bourbon Barrels,Guinness Open Gate Brewery ,Stout - Imperial / Double Pastry,2.75,3.8
Strawberry Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,4.15
Infinite Wishes (Bourbon Barrel Aged),Smog City Brewing Co.,Stout - Imperial / Double,3.75,4.12
Dark Cabaret (2021),Breakside Brewery,Stout - Imperial / Double,3.5,4.25
