Beer,Brewery,Style,YourRating,GlobalRating
Berry Punch,Truly Hard Seltzer,Hard Seltzer,3.75,3.25
Broken Skull IPA,El Segundo Brewing Company,IPA - American,4,3.8
Barrel Aged Baltic Porter (2020),Saltfire Brewing Co,Porter - Baltic,4.25,4.21
Barrel Aged Still Kooks,Other Half Brewing Co.,Stout - Imperial / Double,4.5,4.17
The Raspberry Bohemian,Exile Brewing Company,Sour - Fruited,3.75,3.88
Mango Cart,Golden Road Brewing,Fruit Beer,3.5,3.8
Exit 16 - Double IPA,Flying Fish Brewing Co.,IPA - Imperial / Double,3.5,3.76
"Ferryman's Chocolate Covered Cherries, Russian Imperial Stout W/ Cherries, Cacao, & Vanilla",Confluence Brewing Company,Stout - Russian Imperial,3.25,3.85
Coyote Verde,Fishback & Stephenson,Cider - Traditional / Apfelwein,3.75,3.68
Grodziskie,Lua Brewing,Grodziskie / Grätzer,3.75,3.76
Skip 9,Lua Brewing,Sour - Fruited,3.75,4.25
Tacos And Hash,Lua Brewing,IPA - New England / Hazy,4,4.27
Grow Till Tall,Lua Brewing,Pale Ale - American,4.25,4.06
The Main Course,Lua Brewing,Sour - Other,4.25,4.4
Sunbather,Lua Brewing,Sour - Fruited,4.25,4.16
Sent By Liars,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.51
Traeblod Pecan Pie,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.5,4.39
Træblod Bourbon Barrel Aged (2021),Mikkeller Brewing San Diego,Stout - Imperial / Double,4.5,4.32
Infinite Wishes (2020),Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.2
Ferrari Backpack,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.15
Wahlbrewski,Harpoon Brewery,Pale Ale - American,3.5,3.53
Bubba,Backpocket Brewing,IPA - New England / Hazy,4,3.88
Blackberry Lemonade,Lake Time Brewery,Sour - Fruited,3.75,3.81
Swift,SingleSpeed Brewing Company,Pale Ale - New England / Hazy,3,3.73
312 Lemonade Shandy,Goose Island Beer Co.,Shandy / Radler,3.75,3.47
Strawberry Bohemian,Exile Brewing Company,Sour - Berliner Weisse,4,3.82
Carrera 3.0,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,3.75,4.13
"Ferryman's German Chocolate, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao & Coconut",Confluence Brewing Company,Stout - Russian Imperial,4.5,4.25
Into the Mist,Transient Artisan Ales,Barleywine - American,4,3.78
Cookie Junkie: Snickerdoodle Stout,Backpocket Brewing,Stout - Pastry,3.25,3.79
Maple Barrel Aged No Cake (2021),Transient Artisan Ales,Stout - Imperial / Double,4.5,4.39
Snowed In - Vanilla (2021),Copper Kettle Brewing Company (Colorado),Stout - Imperial / Double Oatmeal,3.75,4.08
Pineapple Papaya Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19
ReUnion IPA,ReUnion Brewery,IPA - American,3.75,3.67
Don't Be Amber,Farmhand Brewing Company,Brown Ale - American,3.75,3.73
Zimm Light,Farmhand Brewing Company,Lager - American Light,3.75,3.61
German Chocolate Cake Stout,Farmhand Brewing Company,Stout - Milk / Sweet,4,3.93
Batch 1000 Barleywine,Big Grove Brewery,Barleywine - English,4.5,4.24
Sparkle Water Yellow,Transient Artisan Ales,Hard Seltzer,3,3.6
Sparkle Water Green,Transient Artisan Ales,Hard Seltzer,4,3.7
Mind to Devour,Transient Artisan Ales,IPA - Imperial / Double,4.25,4.21
Crisp Apple Unfiltered,Angry Orchard Cider Company,Cider - Dry,3,3.56
Bowser & Koopa,Transient Artisan Ales,Stout - Imperial / Double,4.5,4.14
Juice Factory Pale Ale,ReUnion Brewery,Pale Ale - New England / Hazy,3.75,3.74
Key Lime Sour,Crawford Brew Works,Sour - Other,2.75,3.62
Bugs Buckley,Transient Artisan Ales,Stout - Imperial / Double Pastry,4.25,4.16
Plurple,Transient Artisan Ales,Sour - Fruited,4.5,4.12
Weller Barrel No Cake (2021),Transient Artisan Ales,Stout - American,4.25,4.31
Junie (Double Barrel),Transient Artisan Ales,Stout - Imperial / Double,4.5,4.42
Hay Z IPA,Farmhand Brewing Company,IPA - New England / Hazy,4,3.77
The Sacrifice,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.47
Barrel-Aged Oort,Ecliptic Brewing,Stout - Imperial / Double,3.75,4.17
Oud Bruin Kriek,pFriem Family Brewers,Sour - Flanders Oud Bruin,4.25,4.24
Mixed Cuvees (2021),Cycle Brewing Company,Stout - Imperial / Double,4.5,4.36
Blueberry Cobbler,WeldWerks Brewing Co.,Sour - Smoothie / Pastry,4.5,4.28
Double Raspberry EndLayer,Modist Brewing Co.,Sour - Fruited Gose,4,4.05
Barrel Aged Aurox Imperial Stout (Maple Pecan Pie) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.75,4.18
Main Boss,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,3.75,3.86
Pulpagogo - Pineapple/Pink Guava/Coconut,White Elm Brewing Company,Sour - Fruited,4.5,4.19
Double Berry Shake,Great Notion Brewing,Sour - Fruited,4.5,4.35
The Explorer,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31
SOUTHERN NIGHTS & NORTHERN LIGHTS,BlackStack Brewing,IPA - Triple New England / Hazy,4,4.31
Life Like Weeds,Lua Brewing,Sour - Fruited,4.25,4.14
Gil's Pils,Lua Brewing,Pilsner - German,3.75,3.83
Coffee Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double Coffee,4.25,4.45
Darkness (2021) Barrel-Aged,Surly Brewing Company,Stout - Russian Imperial,4.25,4.4
Barrel Aged Cicada Killer – Maple Cinnamon (2020),Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.27
Mallow Gold (2021),Lion Bridge Brewing Company,Stout - Pastry,4.5,4.28
WIRETAP,Black Project Spontaneous & Wild Ales,Sour - Other,4,3.99
Cookie Junkie Peanut Butter & Sandwich Cookie Dessert Stout,Backpocket Brewing,Stout - Pastry,4,3.97
Brasserie Noir (2017),Goose Island Beer Co.,Stout - Imperial / Double,4,4.32
"Dear Annie,",Kinship Brewing Co.,IPA - New England / Hazy,4.25,3.83
Barrel Aged The Visitor Imperial Stout (Triple Chocolate) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.04
Barrel Aged Aurox Imperial Stout (Sumatran Coffee & Hazelnut) -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.3
Pineapple Lemonade Naturdays,Anheuser-Busch,Lager - American Light,3,3.49
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch IV (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.27
Sandbar Sunday,Islamorada Beer Company,Wheat Beer - American Pale Wheat,2.75,3.48
Black & Tan,Yuengling Brewery,Black & Tan,3.5,3.44
Imperial Golden Nugget,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.18
Winter Ale,Blue Point Brewing Company,Winter Ale,3.5,3.38
Immoderate,Lua Brewing,Stout - Imperial / Double,4.5,4.49
That's Not A Knife,Barn Town Brewing,IPA - American,3.75,3.76
Tiny Beam of Light,Lua Brewing,Pale Ale - American,4.5,4.15
Yay!,Marto Brewing Company,Stout - Imperial / Double Pastry,4.5,4.24
Hoax (2020),Hardywood Park Craft Brewery,Stout - Imperial / Double Milk,4.25,4.31
Dark Age,Wicked Weed Brewing,Stout - Imperial / Double,4.25,4.19
Tropical Trike,Fenders Brewing,IPA - New England / Hazy,3.5,3.86
Charles Thiccens,Gezellig Brewing Company,Porter - Imperial / Double,4,4.05
Gingham,Jackie O's Brewery,Sour - Fruited,3.75,4.09
Peanut Butter Porter,Fort Myers Brewing Company,Porter - Other,4,3.88
Barrel Aged Aurox Imperial Stout (Brownie Batter) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,3.5,4.13
Smoothie Bubbs - Berry Blast,Barn Town Brewing,Hard Seltzer,4.25,4.36
Panther Cub (2021),Founders Brewing Co.,Porter - Imperial / Double,4.25,4.14
420 Extra Pale Ale,SweetWater Brewing Company,Pale Ale - XPA (Extra Pale),3.75,3.61
Big Bad Baptist (Release #137),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4.25,4.29
Cooperage Camp Fire Black Lager,Confluence Brewing Company,Lager - Strong,4,N/A
Sticky Juice,Barn Town Brewing,IPA - New England / Hazy,4.25,4.32
Smoothie Bubbs: Strawberry Banana,Barn Town Brewing,Hard Seltzer,4,4.39
BA Coconut Everything,Barn Town Brewing,Stout - Pastry,4.75,4.39
BA Hazel's Breakfast Spread,Barn Town Brewing,Stout - Pastry,4.75,4.22
BA Birthday,Barn Town Brewing,Stout - Pastry,4.5,4.26
"Bourbon Barrel Monster Cookie Stout, Bourbon Barrel Aged Stout W/ Chocolate & Peanut Butter",Confluence Brewing Company,Stout - Other,4.5,4.28
Flower Sour,Casa Bruja Brewing Co.,Sour - Other,2.25,3.6
Banana Cream Pie Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99
UNIFY - Hazy IPA,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.11
Big Bang,Lake Time Brewery,Stout - Milk / Sweet,3.5,3.65
Cherry Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19
Stavropol ,Confluence Brewing Company,Stout - Russian Imperial,4,3.87
Barrel Aged The Visitor Imperial Stout (Chocolate Cherry) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,4.1
Then Before And Now Once More,Barn Town Brewing,IPA - American,4.25,3.96
Young's Double Chocolate Stout,Eagle Brewery (formerly Charles Wells),Stout - Milk / Sweet,3,3.67
Dark Charge - Coffee Vanilla (2020),Braxton Brewing Company,Stout - Imperial / Double,4.25,3.89
Stone Fruited Sour,Barn Town Brewing,Sour - Fruited,4.25,4.05
Idiom - Peanut,Lua Brewing,Porter - English,4,4.13
Idiom - Cacao,Lua Brewing,Porter - English,3.5,3.85
Idiom - Coffee,Lua Brewing,Porter - English,3.75,3.85
Idiom - Coconut,Lua Brewing,Porter - English,4.25,4.07
Caramel Pecan GAZPROM! (2021),Lion Bridge Brewing Company,Stout - Russian Imperial,4.25,4.32
UNIFY - Hazy IPA,Iowa Brewers Guild,IPA - New England / Hazy,4,3.83
Smangpop: Everybody Chase Me!,Lua Brewing,Sour - Fruited,4,4.27
Imaginary Time,Barn Town Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.24
New Beginnings DDH NEIPA,Brightside Aleworks,IPA - New England / Hazy,4.25,4.28
"Smush: Mango, Pineapple, Passionfruit, Guava",Lua Brewing,Hard Seltzer,4.25,4.26
Smush Strawberry Banana,Lua Brewing,Hard Seltzer,4.5,4.29
Heavy Dust,Barn Town Brewing,IPA - New England / Hazy,3,3.8
Bois N' Berries,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.16
The Braidy Bunch,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.11
Big Chungus Scottish-Style Wee Heavy Ale W/ Heather,Confluence Brewing Company,Scotch Ale / Wee Heavy,4,3.98
Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38
Mood - Imperial Stout,Brightside Aleworks,Stout - Imperial / Double Pastry,4,3.78
Pillow Talk,Pulpit Rock Brewing Company,Sour - Fruited,4.75,4.26
What Maryland Does,True Respite Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.09
Barrel Aged The Visitor Imperial Stout (Cinnamon Roll) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.3
Bourbon County Brand Vanilla Stout (2018),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.52
Serenity,Marto Brewing Company,Pale Ale - New England / Hazy,3.75,4.02
Double Blueberry Love Muffin,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.12
Smell of Money - Azacca,Marto Brewing Company,IPA - New England / Hazy,4.5,4.08
Mango End Layer,Modist Brewing Co.,Sour - Fruited Gose,2.5,3.62
Cherry-O's,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.29
Richard the Whale (2020),Big Grove Brewery,Stout - Russian Imperial,4.5,4.4
Fresh IIPA V50,Hubbard's Cave,IPA - Imperial / Double,3.75,3.97
Shiner Candied Pecan Porter,Spoetzl Brewery,Porter - Other,4,3.63
Jumbled Up,Dimensional Brewing Company,Stout - Coffee,4.25,4.01
Cuvee - Just Maple (2020),Cycle Brewing Company,Stout - Imperial / Double,4.5,4.27
CHONK Peanut Butter & Jelly,Drekker Brewing Company,Sour - Smoothie / Pastry,4.5,4.22
Some IPA,Pulpit Rock Brewing Company,IPA - American,4.5,4.04
Barrel Aged 12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double Pastry,5,4.44
Again,Lua Brewing,Stout - Imperial / Double,4.5,4.67
Digital Distraction,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.1
Not Your Kind of People,Anchorage Brewing Company,IPA - Imperial / Double,4.5,4.1
Rêve Coffee Stout,Parish Brewing Co.,Stout - Coffee,4.25,4.22
The Sorcerer,Anchorage Brewing Company,IPA - American,4.25,3.97
Show And Tell,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.07
Viking Funeral,Four Fathers Brewing,Stout - Imperial / Double Milk,4,4.02
Alma Mater (2019),Pulpit Rock Brewing Company,IPA - Imperial / Double,4.25,4.03
Juicy Bits,WeldWerks Brewing Co.,IPA - New England / Hazy,4.5,4.18
Señor Rhino,Alesong Brewing & Blending,Stout - Imperial / Double,4.25,4.32
Barrel-Aged Waffle Cone - Neapolitan,Main & Mill Brewing Company,Stout - Imperial / Double Pastry,4.5,4.31
Dark Charge - S'mores (2020),Braxton Brewing Company,Stout - Pastry,3.5,3.84
Snugglebug,Smog City Brewing Co.,Sour - Fruited,4.25,4.14
Cherry Fluff,Dimensional Brewing Company,Sour - Fruited,4,4.11
Barrel Aged Yer Killin’ Me Smores,Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.14
Need Direction?,Anchorage Brewing Company,IPA - Triple,4.25,4.17
Double Raspberry Shake,Great Notion Brewing,Sour - Fruited,4,4.32
CAN PHONES,BlackStack Brewing,IPA - Imperial / Double New England / Hazy,4,4.21
Barrel Aged Aurox Imperial Stout (Triple Vanilla) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,3.97
Rule of Thirds,Phase Three Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.13
Brolo Ties,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.04
Snowed In - Coconut (2020),Copper Kettle Brewing Company (Colorado),Stout - Oatmeal,4.5,4.2
"Alpha Abstraction, Vol. 14",Wild Leap Brew Co.,IPA - Imperial / Double New England / Hazy,4.25,4.19
Legendary Lemon,Lil Beaver Brewery,Blonde Ale,3.5,3.8
Jacuzzi Moves,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.5,4.37
Hadal,Lua Brewing,Stout - Imperial / Double,4.5,4.37
Weather Beacon Red,Confluence Brewing Company,Märzen,3.75,3.73
Tryptophan,Lua Brewing,IPA - Triple,4.25,4.48
Imperial Nutcase,Listermann Brewing Company,Porter - Imperial / Double,4,4.17
Vanilla Bean Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38
Big Frooty #32: Pineapple Upside Down Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.11
Ghosts of Giants,Varietal Beer Co.,Stout - Imperial / Double,3.25,3.97
Big Frooty #31 - Boodrow,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.01
"Coastal Sunshine (v9) Passion Fruit, Orange, Guava",Humble Forager Brewery,Sour - Fruited,4.25,4.17
Fruit Creep,Illuminated Brew Works,IPA - Imperial / Double New England / Hazy,4.25,3.98
Abuse of Stout,Destination Unknown Beer Company,Stout - Imperial / Double,4.25,4.15
The Death of Civilization in Slow Motion I. (Ghost 907),Adroit Theory,IPA - Imperial / Double New England / Hazy,4,4.11
Yer Killin' Me S'mores!,Barn Town Brewing,Stout - Pastry,4.25,4.09
Smoofee Sour - Banana Peanut,The Brewing Projekt,Sour - Smoothie / Pastry,4,3.72
This $+ØU+ Just Got Serious,Untitled Art,Stout - Imperial / Double Pastry,4.5,4.26
Braaaaaaaains - Peach & Black Currant,Drekker Brewing Company,Sour - Smoothie / Pastry,4.25,4.17
Gin & Cran - Gin Barrel Aged Classic Cocktail,Barn Town Brewing,Blonde Ale,3.5,3.9
Old Fashioned - Gin Barrel Aged Classic Cocktail,Barn Town Brewing,Blonde Ale,4.25,4.32
Dark & Stormy - Gin Barrel Aged Classic Cocktail,Barn Town Brewing,Blonde Ale,4.25,3.9
Into the Woods,Big Grove Brewery,Sour - Fruited,3.5,4.11
Minuteman,Big Grove Brewery,IPA - Imperial / Double,4.25,3.98
Donut Go Breakin' My Heart,Pulpit Rock Brewing Company,Sour - Fruited,4.75,4.3
Strata-G,Pulpit Rock Brewing Company,IPA - Imperial / Double,4.25,4.14
HDTV,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4.5,4.4
Blustery,Pulpit Rock Brewing Company,Sour - Other,4.25,4.37
Banana Straws,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.35
Strawberry Shortcake Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4,4.17
Kentucky Brunch Brand Stout (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.87
Vanilla Bean Assassin (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.77
Term Oil S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.75,4.5
Kaiju Clash,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.37
Term Oil Fluffernutter,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.75,4.55
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.83
Richard the Whale: Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.25,4.33
Richard the Whale: Spotted Richard (2020),Big Grove Brewery,Stout - Russian Imperial,4.25,4.43
Richard the Whale: Vietnamese Coconut Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.5,4.6
Bourbon County Brand Kentucky Fog Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double,3,4.08
Quiet,Lua Brewing,Stout - Other,4.5,4.49
Pushpop: Least Best,Lua Brewing,Sour - Fruited,4.5,4.5
Thick Avenue,Lua Brewing,Sour - Fruited,4.25,4.05
Bourbon County Brand Special #4 Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double Oatmeal,4.5,4.4
Sun For Miles,Lua Brewing,IPA - New England / Hazy,4.25,4.25
Bourbon County Brand Stout (2020) 14.6%,Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.46
Barrel Aged The Visitor Imperial Stout (Banana Cream Pie) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.07
Hedonistic,Lua Brewing,Stout - Imperial / Double,4.75,4.58
Bourbon County Brand Stout (2017) 14.1%,Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.48
Unnecessary Commentary,Barn Town Brewing,Stout - Imperial / Double Pastry,4,4.19
Juicy Gossip,Bell's Brewery,Pale Ale - American,3.25,3.7
Light Hearted Ale,Bell's Brewery,IPA - Session,3,3.54
Imperial Smells Like Bean Spirit - Special Roast (French Toast),Mikerphone Brewing,Stout - Imperial / Double Coffee,4.5,4.16
Black Note Stout,Bell's Brewery,Stout - Imperial / Double,4.25,4.44
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,3.95
Manic_pixie_eco_warrior,Solemn Oath Brewery,Barleywine - English,3.5,3.75
Santa's Cookie Duster,Marz Community Brewing Co.,Barleywine - Other,3.5,3.73
Peachy Bones,Firestone Walker Brewing Company,Wild Ale - American,4,4.04
KBS Espresso (2020),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.23
Rocky Road,Hubbard's Cave,Stout - Imperial / Double Pastry,3.75,4.03
Grand Cru,North Coast Brewing Company,Strong Ale - American,2,3.84
Oh My Goodies,Barn Town Brewing,Stout - Imperial / Double Pastry,3.75,4.15
The Ages,Deschutes Brewery,Lambic - Gueuze,4,4.06
Öö,Põhjala,Porter - Imperial / Double Baltic,3.5,3.96
Big Frooty #27: Kleetus B,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.1
Jõuluöö,Põhjala,Porter - Imperial / Double,4,3.9
Blessed,Anchorage Brewing Company,Stout - Imperial / Double,5,4.76
Silent Steps,Barn Town Brewing,IPA - Imperial / Double New England / Hazy,4,4
Double Donuts (Barrel-Aged),SingleSpeed Brewing Company,Stout - Imperial / Double Oatmeal,4.5,4.22
Big Frooty #26: Mace Daddy,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,3.99
KBS Maple Mackinac Fudge,Founders Brewing Co.,Stout - Imperial / Double Coffee,4.75,4.37
Direct Current,Surly Brewing Company,IPA - American,4,3.7
"Peanut Butter Party, Peanut Butter Porter",Confluence Brewing Company,Porter - Other,4.25,3.98
"Anniversary Jam, Fruited Blonde Ale",Confluence Brewing Company,Blonde Ale,4.25,3.9
Tweak (Bourbon Barrel Aged),Avery Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.39
Baby's First SmushPop,Lua Brewing,Sour - Other,4.5,4.32
Double Pushpop: To A Tradition,Lua Brewing,Sour - Fruited,4.5,4.55
Peanut Butter Porter/ Whiskey Barrel,Mistress Brewing Company,Porter - Other,3.5,3.59
Richard the Whale (2019),Big Grove Brewery,Stout - Russian Imperial,4.5,4.35
Double Donuts,SingleSpeed Brewing Company,Stout - Imperial / Double Oatmeal,4.25,4.14
Witch Slap,Clock House Brewing,IPA - New England / Hazy,4.25,4.07
B.O.R.I.S. The Crusher,Hoppin' Frog Brewery,Stout - Russian Imperial,3.75,4.05
Richard the Whale ,Big Grove Brewery,Stout - Russian Imperial,4.5,4.27
Big Frooty #24: Johnny La Rouge,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.96
Assassin with Coconut (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.59
Darkness (2017) Barrel-Aged,Surly Brewing Company,Stout - Russian Imperial,2.25,4.38
O'Henry Batata Autumn Ale,Alluvial Brewing Company,Red Ale - American Amber / Red,4,4.05
Red Zeppelin,Lake Time Brewery,Red Ale - American Amber / Red,4,3.54
Perfectly Pleasant,Gezellig Brewing Company,Stout - American,3.75,3.96
Adventures of Frank Vol 4: the Godfather,Gezellig Brewing Company,IPA - Imperial / Double,3.75,4.13
Ecto Coolest,Barn Town Brewing,Sour - Fruited,4.25,3.96
Pivot!,Barn Town Brewing,IPA - New England / Hazy,4.25,3.92
Barrel Aged The Visitor Imperial Stout (Malted Milk Ball) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,3.86
RAWR,The Brewing Projekt,IPA - New England / Hazy,4.5,4.08
All Day IPA,Founders Brewing Co.,IPA - Session,3.5,3.7
Harvestivus,515 Brewing Company,Märzen,3.5,3.82
8th Anniversary Oatmeal Raisin Cookie Stout,Backpocket Brewing,Stout - Russian Imperial,4,4.02
Hop-15 Ale,Port Brewing Company,IPA - Imperial / Double,4,3.99
Lost In Spacejuice,Marto Brewing Company,IPA - New England / Hazy,4.25,4.11
Mornin' Delight (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.54
Oktoberfest,Jacob Leinenkugel Brewing Company,Märzen,3,3.39
Wild Streak,Brooklyn Brewery,Wild Ale - American,3.75,3.72
Violet Underground,Firestone Walker Brewing Company,Wild Ale - Other,4.25,4.11
Firestone 23 (XXIII) Anniversary Ale (2019),Firestone Walker Brewing Company,Strong Ale - American,3.75,4.32
Barrel Aged Comrade With Coffee And Vanilla,ZümBier,Stout - Russian Imperial,4.25,4.32
Dragons,Urban Artifact,Fruit Beer,4,4.03
Dreamsicle,903 Brewers,Sour - Smoothie / Pastry,4.5,4.13
Hazy IPA,Grumpy Goat Tavern,IPA - New England / Hazy,3.5,3.72
Coffee Coconut Stout,WeldWerks Brewing Co.,Stout - Imperial / Double Milk,4,4.11
Mikerphone Solo,Mikerphone Brewing,IPA - New England / Hazy,4.5,4.13
Puppy,Anchorage Brewing Company,IPA - American,4.5,4.02
Wild Sour Series: Salted Watermelon Gose,DESTIHL Brewery,Sour - Fruited Gose,3,3.71
Oktobot 3000 (2020),Lion Bridge Brewing Company,Märzen,4.25,3.96
Mango Fett,Franklin Street Brewing Company,IPA - New England / Hazy,4.25,3.92
Big Blueberry Ox,Boulevard Brewing Co.,Farmhouse Ale - Saison,4,3.76
Pushpop: Uneven Seams,Lua Brewing,Sour - Fruited,4.75,4.38
Miracle Toast,Hoof Hearted Brewing,Stout - Imperial / Double,4,4.06
Pushpop: the Pointer Brothers,Lua Brewing,Sour - Fruited,5,4.54
Game of Thrones: For the Throne,Brewery Ommegang,Belgian Strong Golden Ale,4,3.79
Pineapple Cherry Swirl,Big Grove Brewery,Sour - Fruited Berliner Weisse,4,3.9
Algorithm,Lua Brewing,Sour - Fruited,4.75,4.27
Black Is Beautiful,Lua Brewing,Stout - Imperial / Double Pastry,4.75,4.49
Simulacra,Lua Brewing,Sour - Fruited,4,4.24
B-Bomb (2016),Fremont Brewing,Winter Ale,4.25,4.36
Michelob Golden Light,Anheuser-Busch,Lager - American Light,3.25,2.82
Little Black Dress,Mistress Brewing Company,IPA - Black / Cascadian Dark Ale,3.25,3.58
Rhubbyl Strawberry Sour,Alluvial Brewing Company,Sour - Other,4.25,3.91
Lutris Pale Ale,Alluvial Brewing Company,Pale Ale - New England / Hazy,4,3.97
"Wicked Tripel, Oak Barrel Aged Belgian-Style Tripel Ale",Confluence Brewing Company,Belgian Tripel,3.75,3.76
Emperor Norton,Almanac Beer Company,IPA - Belgian,3.5,3.76
Final Entropy,Jackie O's Brewery,Farmhouse Ale - Other,2.75,3.77
Barrel Aged Velvet | 2020,Big Grove Brewery,Stout - Imperial / Double,5,4.66
Into the Jungle,Big Grove Brewery,Sour - Fruited,4.25,4.1
Estrella Jalisco,Grupo Modelo,Lager - Mexican,3,3.14
Black Butte XXXI,Deschutes Brewery,Porter - Imperial / Double,4,4.12
For Life,Indie Brewing Company,Stout - Imperial / Double,4.25,4.09
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,4,4.02
A Round on the House,_____ Brewing,Stout - Milk / Sweet,3.75,3.86
Imperial Wedding Cake Break (2019),Evil Twin Brewing,Porter - Imperial / Double,4,3.94
"Light & Squeezy, Lemon-Raspberry Radler",Confluence Brewing Company,Shandy / Radler,4,3.91
8th Anniversary Stout,Backpocket Brewing,Stout - Russian Imperial,4,4.1
Reindeer Tears (2018),Heathen Brewing,Barleywine - American,4.25,4
Triple Surfer,Trophy Brewing Company,IPA - Triple,4.25,4.14
Oak Aged Belgian Quad Ale,Mistress Brewing Company,Belgian Quadrupel,3.5,3.8
Lunch,Maine Beer Company,IPA - American,4,4.17
Member Berries,Marto Brewing Company,Sour - Fruited,4.25,4.14
Black Is Beautiful,Barn Town Brewing,Stout - Imperial / Double,4.25,3.99
Room For Activities,Marto Brewing Company,Sour - Fruited,4.25,3.99
Cin Sin (2020),Barn Town Brewing,Stout - Imperial / Double,4.25,4.03
Hazelnut Pot De Crème (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4.25,4.13
I Believe In Love,Allagash Brewing Company,Sour - Fruited,4,4.06
Ghosts in the Forest,The Lost Abbey,Wild Ale - American,4,4.07
