Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Starry Noche (2021),WeldWerks Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.55,10/09/22,10/09/22
Chocolate Coconut Candy Stout,Untitled Art,Stout - Imperial / Double Pastry,3.5,3.95,10/08/22,10/08/22
Air Whale Hell,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.14,10/06/22,10/06/22
Year 9 (Red Label),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.5,4.44,10/06/22,10/06/22
Bourbon Barrel Aged Dark Star,Fremont Brewing,Stout - Imperial / Double Oatmeal,4.25,4.32,10/06/22,10/06/22
Blindside,Harbottle Brewing Company,IPA - Black / Cascadian Dark Ale,3,3.86,10/05/22,10/05/22
Maris the Classy Otter,Tombstone Brewing Company,Barleywine - English,3,3.97,10/05/22,10/05/22
Circuitous,Pueblo Vida Brewing Company,IPA - Imperial / Double New England / Hazy,3,4.29,10/05/22,10/05/22
E18 Light American Lager,E18 Brewing Co.,Lager - American Light,3.5,3.38,10/02/22,10/02/22
Amber Ale,Oak Creek Brewing Co. ,Red Ale - American Amber / Red,3.25,3.51,10/02/22,10/02/22
Nut Brown Ale,Oak Creek Brewing Co. ,Brown Ale - American,2.5,3.64,10/02/22,10/02/22
Totally Naked,New Glarus Brewing Company,Lager - American Light,3.25,3.57,10/02/22,10/02/22
Eazy Lover W/ Mosaic & Simcoe,Pulpit Rock Brewing Company,IPA - Session,3.75,4.06,10/02/22,10/02/22
Strawberry Rhubarb,New Glarus Brewing Company,Fruit Beer,3.75,4.21,10/02/22,10/02/22
Black Currant 22,New Glarus Brewing Company,Fruit Beer,2.5,4.12,10/02/22,10/02/22
Moon Man,New Glarus Brewing Company,Pale Ale - American,3.5,3.83,10/02/22,10/02/22
Kid Kölsch,New Glarus Brewing Company,Kölsch,3.5,3.8,09/30/22,09/30/22
Boomslang,Lua Brewing,IPA - Imperial / Double,3.75,4.24,09/30/22,09/30/22
Dirt Preachers,Lua Brewing,IPA - Rye,3.5,3.86,09/30/22,09/30/22
No Quams About It,Pulpit Rock Brewing Company,IPA - American,4,3.97,09/29/22,09/29/22
Barrel-Aged Pastry Stout - Apple Cinnamon Strudel ,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.31,09/29/22,09/29/22
The Muffin Man,Pulpit Rock Brewing Company,Sour - Other,3,4.29,09/25/22,09/25/22
Gemini | Mango + Raspberry + Burst,Mortalis Brewing Company,Sour - Smoothie / Pastry,4,4.38,09/25/22,09/25/22
Hydra | Melted Gelato,Mortalis Brewing Company,Sour - Smoothie / Pastry,4.5,4.51,09/25/22,09/25/22
Blackberry Lemonade,Lake Time Brewery,Sour - Fruited,3.75,3.81,09/25/22,09/25/22
Dark Trifecta Coconut Cinnamon,Streetside Brewery,Stout - Imperial / Double Pastry,4.25,4.29,09/24/22,09/24/22
Settling In: Macaroon,Alma Mader Brewing,Stout - Imperial / Double Milk,4.25,4.24,09/24/22,09/24/22
F--- Mother of All Stouts,Transient Artisan Ales,Stout - Imperial / Double Milk,4.25,4.31,09/24/22,09/24/22
Grackle,Lua Brewing,Stout - Imperial / Double,4.25,4.58,09/24/22,09/24/22
Barrel Aged Work From Home (2022),Cerebral Brewing,Porter - Imperial / Double Coffee,4.25,4.32,09/24/22,09/24/22
Boat Money,Pulpit Rock Brewing Company,Sour - Other,4.25,4.32,09/21/22,09/21/22
Mornin' Delight (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.55,09/17/22,09/17/22
Assassin 2022,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.57,09/17/22,09/17/22
Term Oil Coconut Monster Cookie,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.5,09/17/22,09/17/22
Assassin Vanilla Bean (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.75,4.78,09/17/22,09/17/22
Cloth Ears,Lua Brewing,Sour - Fruited,4,3.98,09/16/22,09/16/22
Proxima,Lua Brewing,Pale Ale - New England / Hazy,4.25,4.14,09/16/22,09/16/22
Say Yes,Lua Brewing,Sour - Fruited,4.25,4.42,09/16/22,09/16/22
Fleeting,Lua Brewing,Stout - Imperial / Double,4.25,4.55,09/11/22,09/11/22
InHOPnito,Simple Machine Brewing Company,IPA - Imperial / Double New England / Hazy,3.75,3.92,09/10/22,09/10/22
The Void,Drake's Brewing Company,Stout - Imperial / Double,4.25,4.28,09/10/22,09/10/22
Wander,Lua Brewing,Stout - Imperial / Double,4.25,4.37,09/10/22,09/10/22
Big Bad Baptist Double Jam,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,3.96,09/03/22,09/03/22
¡Órale!,Spoetzl Brewery,Lager - Mexican,3.5,3.6,09/03/22,09/03/22
Continuous Ignition (2022),Bottle Logic Brewing,Stout - Imperial / Double Coffee,4.5,4.28,09/03/22,09/03/22
Two Women,New Glarus Brewing Company,Lager - Pale,3.75,3.58,09/03/22,09/03/22
BA Coconut Everything,Barn Town Brewing,Stout - Pastry,4.25,4.39,09/03/22,09/03/22
Dire Wolf Coffee Joy,Wolf's Ridge Brewing,Stout - Russian Imperial,4.25,4.19,08/31/22,08/31/22
Moon Water,Reclaimed Rails Brewing Company,Pilsner - Czech,3.5,3.58,08/28/22,08/28/22
"Session Hazy IPA, Test Batch #3",Confluence Brewing Company,IPA - Session,3.75,3.84,08/28/22,08/28/22
Midnight Hayride,Millstream Brewing,Stout - Imperial / Double,4,4.03,08/28/22,08/28/22
Lotus,5ive Cities Brewing,IPA - New England / Hazy,4,3.58,08/28/22,08/28/22
Evil Morty,5ive Cities Brewing,IPA - New England / Hazy,4,4,08/28/22,08/28/22
5th Anniversary Barrel Aged Imperial Stout Blend,Bombastic Brewing ,Stout - Imperial / Double,4.25,4.31,08/28/22,08/28/22
Dark Charge Bourbon Barrel Aged (2021),Braxton Brewing Company,Stout - Imperial / Double,4.25,4.1,08/28/22,08/28/22
Noema - Blend No. 3,New Image Brewing,Stout - Imperial / Double,4,4.21,08/13/22,08/13/22
Berry Patch Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.25,08/13/22,08/13/22
High Hopes,Lua Brewing,IPA - New England / Hazy,4.25,4.16,08/05/22,08/05/22
Am I Going Up?,Lua Brewing,Sour - Fruited,4.5,4.26,08/05/22,08/05/22
Alchemy of Elements (2022),Bottle Logic Brewing,Stout - Imperial / Double,3.75,4.27,08/04/22,08/04/22
Candied Pecan (2022),Parish Brewing Co.,Stout - Imperial / Double Pastry,4.25,4.32,08/04/22,08/04/22
Pure Bliss,Barn Town Brewing,Stout - Imperial / Double,4.25,4.34,08/04/22,08/04/22
Wavelengths,Imagine Nation Brewing Co.,IPA - Milkshake,4,4.17,08/04/22,08/04/22
No Takezees Backzees,Barn Town Brewing,IPA - Imperial / Double,3.75,3.82,08/04/22,08/04/22
Paradise,Prairie Artisan Ales,Stout - Imperial / Double,4.25,4.21,08/01/22,08/01/22
Café Deth,Revolution Brewing Company,Stout - Imperial / Double Coffee,4.25,4.29,08/01/22,08/01/22
Existential Joy (Barrel Aged),Humble Forager Brewery,Porter - Imperial / Double,4.5,4.41,07/30/22,07/30/22
Bourbon Paradise,Prairie Artisan Ales,Stout - Imperial / Double,4.5,4.53,07/30/22,07/30/22
You Gotta Horchata,Prairie Artisan Ales,Stout - Imperial / Double Milk,4,4.07,07/30/22,07/30/22
Language of Thunder Cumulus,TrimTab Brewing Co.,Stout - Imperial / Double,4,4.24,07/30/22,07/30/22
Ranch Water,Lone River,Hard Seltzer,3,3.37,07/28/22,07/28/22
"Dear Annie,",Kinship Brewing Co.,IPA - New England / Hazy,3.75,3.83,07/09/22,07/09/22
Sheriff Dobeck,Kinship Brewing Co.,Stout - Imperial / Double,3.5,3.75,07/09/22,07/09/22
Scars Are Beautiful,Kinship Brewing Co.,IPA - American,3.5,3.74,07/09/22,07/09/22
Barrel-Aged Hazelnut Imperial Stout with Cocoa Nibs (2021),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.25,4.26,06/30/22,06/30/22
Dem Beetuz Boiz (2022),Imprint Beer Co.,Stout - Imperial / Double Pastry,4.25,4.32,06/30/22,06/30/22
Coffee Bear,Hop Butcher For The World,Stout - Imperial / Double Coffee,4,4.17,06/22/22,06/22/22
Bowser & Koopa,Transient Artisan Ales,Stout - Imperial / Double,4,4.14,06/20/22,06/20/22
Wake the F Up Iowa,Backpocket Brewing,Stout - Imperial / Double Coffee,4.25,4.2,06/19/22,06/19/22
Wake the F Up Iowa Toffee,Backpocket Brewing,Stout - Russian Imperial,4,4.1,06/19/22,06/19/22
Dark Mode,Revolution Brewing Company,Stout - Imperial / Double Milk,4.25,4.24,06/05/22,06/05/22
BBA Always Finish What You Stout 2021,Lumberbeard Brewing,Stout - Imperial / Double,4.25,4.28,06/01/22,06/01/22
Matryoshka (2021),Fort George Brewery,Stout - Russian Imperial,4.25,4.32,06/01/22,06/01/22
Elmer NMT,Omnipollo,Stout - Imperial / Double Pastry,4.25,4.29,06/01/22,06/01/22
Root Beer,Barn Town Brewing,Root Beer,4.25,4.36,05/30/22,05/30/22
Super IPA Me,"Epic Brewing Co. (Utah, Colorado)",IPA - Triple New England / Hazy,3,3.92,05/30/22,05/30/22
"Light & Squeezy, Lemon-Raspberry Radler",Confluence Brewing Company,Shandy / Radler,3.75,3.91,05/30/22,05/30/22
Dueling Amygdalas,Ology Brewing Co,IPA - New England / Hazy,4,4.03,05/28/22,05/28/22
Skinzzzzz,Forager Brewery,Stout - American,4.5,4.47,05/28/22,05/28/22
Piece Offering,Barn Town Brewing,Sour - Fruited Gose,4,4.12,05/28/22,05/28/22
Slurp Float,Barn Town Brewing,Sour - Fruited,4,4.31,05/28/22,05/28/22
Stackin' Bricks,Orchestrated Minds Brewing,IPA - New England / Hazy,4.25,4.21,05/28/22,05/28/22
BA Say Less,Orchestrated Minds Brewing,Stout - Imperial / Double,4.5,4.42,05/28/22,05/28/22
BA Higher Grounds,Barn Town Brewing,Stout - Imperial / Double Pastry,4.25,4.34,05/28/22,05/28/22
Paper Crowns,Xül Beer Co,IPA - New England / Hazy,4,4.1,05/28/22,05/28/22
Heckin' Chonker,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,4.25,4.02,05/28/22,05/28/22
Badder Batter,Pulpit Rock Brewing Company,Stout - Imperial / Double Pastry,4.5,4.65,05/28/22,05/28/22
Toaster Treats,Dimensional Brewing Company,Sour - Fruited,4.25,4.28,05/28/22,05/28/22
Richard the Whale (2021),Big Grove Brewery,Stout - Russian Imperial,4.25,4.3,05/22/22,05/22/22
Id No. 14,COOP Ale Works,Sour - Fruited,0.25,3.78,05/22/22,05/22/22
Richard the Whale: Well Baked Richard,Big Grove Brewery,Stout - Russian Imperial,4.25,4.37,05/14/22,05/14/22
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,3.95,05/13/22,05/13/22
Richard the Whale (2020),Big Grove Brewery,Stout - Russian Imperial,4.25,4.4,05/13/22,05/13/22
Proper Pour,Boulevard Brewing Co.,Stout - Imperial / Double,3.75,4.18,05/13/22,05/13/22
Think Piece,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4,4.13,05/06/22,05/06/22
Foeder Aged Sour IPA,SweetWater Brewing Company,IPA - Sour,2.5,3.56,05/05/22,05/05/22
Wash Me,Barn Town Brewing,IPA - American,3.75,3.86,05/05/22,05/05/22
Bourbon Barrel Aged Sinister Prime Minister,Magnify Brewing Company,Stout - Imperial / Double,4.25,4.36,05/05/22,05/05/22
Party Time,Pontoon Brewing,Stout - Imperial / Double,4.25,4.34,05/05/22,05/05/22
Here,Lua Brewing,Stout - Other,4.5,4.41,05/02/22,05/02/22
Requiem,Lua Brewing,Stout - Imperial / Double,4.25,4.66,05/01/22,05/01/22
Dick Danger Ale,Dick's Brewing Company,IPA - Black / Cascadian Dark Ale,3.25,3.42,04/30/22,04/30/22
Montana Original Lager,Bayern Brewing,Lager - Pale,3.25,3.55,04/30/22,04/30/22
Double Maple Imperial Morning,Octopi Brewing,Stout - Imperial / Double Milk,4.25,4.19,04/30/22,04/30/22
Almond Milk Stout,SweetWater Brewing Company,Stout - Milk / Sweet,3.25,3.61,04/30/22,04/30/22
Oreo Speedwagon,Lake Time Brewery,Stout - Milk / Sweet,3.75,3.88,04/30/22,04/30/22
Double Two Hearted Ale,Bell's Brewery,IPA - Imperial / Double,3,4.13,04/27/22,04/27/22
Chili Buzz,Full Fledged Brewing Co,Chilli / Chile Beer,3,3.69,04/27/22,04/27/22
Lemon Lime Hard Seltzer,Thew's Brew,Hard Seltzer,2,2.73,04/27/22,04/27/22
Sump Coffee Stout,Perennial Artisan Ales,Stout - Imperial / Double Coffee,4.25,4.29,04/27/22,04/27/22
Green Leewood,Kinship Brewing Co.,Porter - American,3,3.72,04/24/22,04/24/22
Pinkus Ur-Pils,Brauerei Pinkus Müller,Pilsner - German,3.25,3.53,04/24/22,04/24/22
Oktoberfest,Breckenridge Brewery,Märzen,3.5,3.7,04/24/22,04/24/22
Saranac 1888 Ginger Beer,Saranac Brewery (F.X. Matt Brewing Co.),Hard Ginger Beer,3.75,3.34,04/24/22,04/24/22
Over Ripe,Great Notion Brewing,IPA - New England / Hazy,4,4.32,04/24/22,04/24/22
Settling In: Land of Mañana,Alma Mader Brewing,Stout - Imperial / Double Milk,3.5,4.24,04/24/22,04/24/22
Mr. Chesterfield,Worth Brewing Company,Old Ale,3.25,3.76,04/24/22,04/24/22
Chocolate Blood Orange Wheat,Reclaimed Rails Brewing Company,Wheat Beer - American Pale Wheat,3.25,3.62,04/24/22,04/24/22
MegaMint,Heathen Brewing,Stout - Imperial / Double Milk,3,3.9,04/23/22,04/23/22
Coconut Medianoche (2022),WeldWerks Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.49,04/23/22,04/23/22
Double Raspberry Slush,Eagle Park Brewing Company,Sour - Fruited,4,4.29,04/23/22,04/23/22
Chaos,Hidden Springs Ale Works,Stout - Imperial / Double Milk,4.25,4.3,04/23/22,04/23/22
Madagascar Triple Chocolate,4 Hands Brewing Company,Stout - Imperial / Double Milk,4.25,4.26,04/20/22,04/20/22
Double Dry Hopped Oh...Forever,Other Half Brewing Co.,IPA - Imperial / Double,4.25,4.31,04/20/22,04/20/22
Pirate Weekend,Prairie Artisan Ales,Stout - Imperial / Double Pastry,4.5,4.35,04/18/22,04/18/22
Rind Over Matter,Bell's Brewery,Wheat Beer - Other,3.5,3.59,04/15/22,04/15/22
Bourbon Barrel Aged Dark Star: Coffee Edition (2019),Fremont Brewing,Stout - Imperial / Double Oatmeal,3.75,4.35,04/15/22,04/15/22
Hop Tart - Sour IPA,Barn Town Brewing,IPA - Sour,3.75,3.92,04/15/22,04/15/22
Breathe Deep,Anchorage Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.07,04/15/22,04/15/22
Magners Original Irish Cider,Magners Irish Cider,Cider - Traditional / Apfelwein,2,3.3,04/15/22,04/15/22
YOJO,Moonraker Brewing Company,IPA - New England / Hazy,4.25,4.22,04/14/22,04/14/22
Napping Under the Echo Tree,Lua Brewing,Sour - Fruited,4,4.18,04/09/22,04/09/22
Science Is Magic That Works,Lua Brewing,IPA - Imperial / Double New England / Hazy,4.25,4.22,04/06/22,04/06/22
Sun For Miles,Lua Brewing,IPA - New England / Hazy,4.25,4.25,04/03/22,04/03/22
Some Grace,Lua Brewing,Sour - Fruited,4.25,4.1,04/03/22,04/03/22
Kentucky Irish Red Ale,Lexington Brewing & Distilling Co.,Red Ale - Irish,2.75,3.57,03/30/22,03/30/22
Light Hearted Ale,Bell's Brewery,IPA - Session,3.75,3.54,03/27/22,03/27/22
Home-Baked (2021),Lion Bridge Brewing Company,Stout - Imperial / Double,4.5,4.4,03/25/22,03/25/22
Mallow Gold (2021),Lion Bridge Brewing Company,Stout - Pastry,4.5,4.28,03/25/22,03/25/22
Bath Bomb: Mango Coconut Marshmallow,Fifth Frame Brewing Co.,Sour - Fruited,4,4.26,03/24/22,03/24/22
Snowed In - Maple (2021),Copper Kettle Brewing Company (Colorado),Stout - Imperial / Double Oatmeal,4,4.14,03/20/22,03/20/22
Law of Averages,Lua Brewing,IPA - Imperial / Double New England / Hazy,4.25,4.27,03/19/22,03/19/22
Lopsided,Lua Brewing,Sour - Other,4.25,4.3,03/19/22,03/19/22
Riot Van,Lua Brewing,Sour - Fruited,3.75,4.07,03/19/22,03/19/22
Wordless Chorus,Lua Brewing,Sour - Fruited,3,4.13,03/19/22,03/19/22
Baby Blue Sedan,Lua Brewing,Sour - Fruited,4.25,4.15,03/19/22,03/19/22
Blueberry Crumble Darkness (2021),Surly Brewing Company,Stout - Russian Imperial,4,3.88,03/12/22,03/12/22
Term Oil Mostra 7th Anniversary,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.75,4.44,03/12/22,03/12/22
Toppling Waters,Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.53,03/12/22,03/12/22
Home Malone,Barn Town Brewing,Lager - Munich Dunkel,3,3.75,03/12/22,03/12/22
Big Frooty - 5th Anniversary Party,Barn Town Brewing,Sour - Fruited,3,4.35,03/12/22,03/12/22
"Fuzz Buzz - Wine Barrel Aged W/ Raspberries, Coconut, & Vanilla",Barn Town Brewing,Mead - Braggot,2.5,3.94,03/12/22,03/12/22
Mazdarati,Turning Point Beer,Stout - Imperial / Double Pastry,4.25,4.22,03/10/22,03/10/22
Hard Mountain Dew Watermelon,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.33,03/10/22,03/10/22
Hard Mountain Dew Original,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.34,03/10/22,03/10/22
Hard Mountain Dew Black Cherry,Green Rebel Brewing Company,Flavored Malt Beverage,3.25,3.43,03/10/22,03/10/22
Hard Mountain Dew Baja Blast,Green Rebel Brewing Company,Flavored Malt Beverage,3.25,3.48,03/10/22,03/10/22
Ruthie,Exile Brewing Company,Lager - Pale,3.5,3.59,03/09/22,03/09/22
Maximón (Bourbon BA Special),Sori Brewing,Porter - Imperial / Double Baltic,4,4.22,03/09/22,03/09/22
Death of the Sun,Drake's Brewing Company,Stout - Imperial / Double,4.25,4.21,03/05/22,03/05/22
Big Bad Baptist Black Forest Cake,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,3.99,03/05/22,03/05/22
11th Anniversary Chocolate & Caramel Stout,Westbrook Brewing Co.,Stout - Imperial / Double Pastry,3.75,3.95,03/05/22,03/05/22
Sin Highway,New Anthem Beer Project,Stout - Imperial / Double,4,4.16,03/05/22,03/05/22
What Evil Lurks [Coffee + Cacao + Pumpkin Spices + Maple] (Ghost 1119),Adroit Theory,Stout - Russian Imperial,3.75,4.25,03/05/22,03/05/22
Castle Cream Ale,Castle Danger Brewery ,Cream Ale,3.75,3.74,03/04/22,03/04/22
Blackout Brunch,Turning Point Beer,Stout - Imperial / Double Pastry,4.25,4.37,03/04/22,03/04/22
"Kriek, A Spontaneous Cuvée",Block 15 Brewing Company,Sour - Flanders Oud Bruin,2,4.06,03/04/22,03/04/22
Blueberry Crumble Slushy,903 Brewers,Sour - Fruited Berliner Weisse,4,4.22,03/04/22,03/04/22
Helles Schlenkerla Lagerbier,"Schlenkerla (""Heller-Bräu"" Trum)",Lager - Helles,3.25,3.49,02/27/22,02/27/22
Barrel-Aged Koko Krampus (2021),Old Irving Brewing Co.,Stout - Imperial / Double Milk,4.75,4.4,02/26/22,02/26/22
Double Dry Hopped Mylar Daydream,Other Half Brewing Co.,IPA - Imperial / Double,4.25,4.38,02/26/22,02/26/22
Faubourg Lager,Faubourg Brewing Co.,Pilsner - Czech,3.25,3.45,02/25/22,02/25/22
Session Premium Lager,Full Sail Brewing Company,Lager - Pale,3.25,3.37,02/25/22,02/25/22
DHop 38,Equilibrium Brewery,IPA - Imperial / Double,4,4.12,02/22/22,02/22/22
Wordy But Unclear,Adventurous Brewing,Stout - Imperial / Double Coffee,4.25,4.23,02/22/22,02/22/22
GAZPROM! (2017),Lion Bridge Brewing Company,Stout - Russian Imperial,4,4.28,02/22/22,02/22/22
Barrel Aged Oco Noco,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4.5,4.51,02/19/22,02/19/22
Infinite Wishes (Bourbon Barrel Aged),Smog City Brewing Co.,Stout - Imperial / Double,3.5,4.12,02/18/22,02/18/22
Strawberry Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,4.15,02/18/22,02/18/22
Dark Cabaret (2021),Breakside Brewery,Stout - Imperial / Double,3.75,4.25,02/18/22,02/18/22
Cowboy Siesta,Fair-Weather Friend,Stout - Imperial / Double,4.25,4.25,02/18/22,02/18/22
Culinary Fuel,Barn Town Brewing,Sour - Fruited,3.75,3.87,02/18/22,02/18/22
Chocolate Mint Stout Aged In Kentucky Bourbon Barrels,Guinness Open Gate Brewery ,Stout - Imperial / Double Pastry,3.25,3.8,02/18/22,02/18/22
Blackened Voodoo ,Faubourg Brewing Co.,Lager - Dark,3.5,3.43,02/06/22,02/06/22
Remembered Time,Lion Bridge Brewing Company,Strong Ale - Other,4,4.22,02/06/22,02/06/22
Silver Star Bock,Franconia Brewing Company ,Bock - Single / Traditional,3.5,3.54,02/05/22,02/05/22
Dixie Brewery Light,NOLA Brewing,Golden Ale,3.5,3.17,02/05/22,02/05/22
Marky Ramone's Hoppy Pilsner,LERVIG,Pilsner - Other,2.5,3.3,02/05/22,02/05/22
Aecht Schlenkerla Eiche - Doppelbock,"Schlenkerla (""Heller-Bräu"" Trum)",Rauchbier,0.25,3.71,02/01/22,02/01/22
Nut Brown,Ithaca Beer Company,Brown Ale - English,2,3.6,02/01/22,02/01/22
India Pale Ale,Green's Beers,Sorghum / Millet Beer,2,3.07,02/01/22,02/01/22
The Oracle,Anchorage Brewing Company,Sour - Fruited,0.25,4.06,01/29/22,01/29/22
Sugarwood Baklava,Boulevard Brewing Co.,Brown Ale - Imperial / Double,2.75,4.04,01/29/22,01/29/22
Colossus,Lua Brewing,IPA - Triple,4.25,4.37,01/29/22,01/29/22
La Roja (Boysenberry & Guava Edition),Jolly Pumpkin Artisan Ales,Sour - Flanders Red Ale,0.25,4.02,01/29/22,01/29/22
Kinky Aloha,Kinky Beverage Company,Flavored Malt Beverage,0.25,3.51,01/24/22,01/24/22
Cayman Jack Cuban Mojito,American Vintage Beverage Co.,Flavored Malt Beverage,0.25,3.28,01/24/22,01/24/22
Gin Inspired Spiced Hard Cider,Jefferson County Ciderworks,Cider - Herbed / Spiced / Hopped,3.5,3.75,01/24/22,01/24/22
Sticky Juice,Barn Town Brewing,IPA - New England / Hazy,4,4.32,01/23/22,01/23/22
Star Gazing with 8th State,Humble Forager Brewery,Stout - Imperial / Double Pastry,4.5,4.2,01/23/22,01/23/22
Breakfast Ante Meridiem,Monday Night Brewing,Brown Ale - Other,4.25,4.29,01/23/22,01/23/22
Infinite Wishes,Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.23,01/23/22,01/23/22
Old Blue,Wilson's Orchard Hard Cider,Cider - Traditional / Apfelwein,4,3.93,01/22/22,01/22/22
Big Bang! Sweet Stout,Lake Time Brewery,Stout - Milk / Sweet,3.5,3.56,01/22/22,01/22/22
Stickee Monkee (2016),Firestone Walker Brewing Company,Strong Ale - American,4,4.4,01/22/22,01/22/22
Barrel Aged Cicada Killer (w/ Coconut) (2019),Barn Town Brewing,Stout - Imperial / Double,4.5,4.43,01/22/22,01/22/22
Richard the Whale - Vanilla Coconut,Big Grove Brewery,Stout - Russian Imperial,4.5,4.67,01/22/22,01/22/22
Big Bad Baptist Reserve (Release #6) ,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.26,01/22/22,01/22/22
Black Knight IPA,Twisted Vine Brewery (Iowa),IPA - Black / Cascadian Dark Ale,3,3.56,01/20/22,01/20/22
Mallow Vibes Orange Marshmallow Sour,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08,01/20/22,01/20/22
Orange Shandy,West O Beer,Shandy / Radler,3.75,3.42,01/20/22,01/20/22
Prazelnut Porter - Hazelnut Praline Porter,NoCoast Beer Co,Porter - Other,2,3.8,01/17/22,01/17/22
Ancient Magick (2021),Old Irving Brewing Co.,Stout - Imperial / Double,4.25,4.19,01/13/22,01/13/22
"Fruitcake Cookie Stout, Bourbon Barrel Aged Oatmeal Stout W/ Dried Fruit & Candied Pecans",Confluence Brewing Company,Stout - Imperial / Double,3.25,3.81,01/13/22,01/13/22
BA Hazel's Breakfast Spread,Barn Town Brewing,Stout - Pastry,4.25,4.22,01/13/22,01/13/22
Coffee Shop Vibes (2020),Shared,Stout - Russian Imperial,3.25,4.35,01/13/22,01/13/22
Bourbon Barrel Aged Dark Star (2020),Fremont Brewing,Stout - Imperial / Double Oatmeal,4,4.39,01/09/22,01/09/22
Brian's Great Grape,Barn Town Brewing,Sour - Fruited,4,4.21,01/09/22,01/09/22
ALL I WANT FOR CHRISTMAS IS ET STAY HOME 21,Evil Twin Brewing NYC,Sour - Smoothie / Pastry,4,4.25,01/09/22,01/09/22
Christmas Zombies,The Iowa Project Brewing Company,Stout - Imperial / Double,3.5,3.63,01/09/22,01/09/22
Cordially Yours,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.15,12/28/21,12/28/21
Wind Chill,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.12,12/28/21,12/28/21
Vanilla Deth (2021),Revolution Brewing Company,Stout - Imperial / Double Oatmeal,4.25,4.26,12/28/21,12/28/21
Adult Nap Time - Pecan,Millstream Brewing,Porter - Other,3.75,3.92,12/19/21,12/19/21
Swingin Sticks With Angry Chair,Humble Forager Brewery,Stout - Imperial / Double,4,3.95,12/16/21,12/16/21
Snowed In - Mocha (2021),Copper Kettle Brewing Company (Colorado),Stout - Imperial / Double Oatmeal,4.25,4.15,12/11/21,12/11/21
Barrel Aged Exhausted Parent Stout,Untitled Art,Stout - Imperial / Double Milk,4.25,4.32,12/09/21,12/09/21
Yellow Belly,Buxton Brewery,Stout - Imperial / Double Pastry,4.25,4.34,12/09/21,12/09/21
Coffee Vanilla Dire Wolf,Wolf's Ridge Brewing,Stout - Russian Imperial,3.5,4.18,12/09/21,12/09/21
"Braaaaaaaains - Blueberry, Black Currant, & Plum Double Fruit Smoothie Sour",Drekker Brewing Company,Sour - Smoothie / Pastry,4.5,4.29,12/09/21,12/09/21
Wake the Others,Anchorage Brewing Company,IPA - Triple New England / Hazy,4.5,4.27,12/09/21,12/09/21
Saftig,Pulpit Rock Brewing Company,IPA - New England / Hazy,4.25,4.1,12/09/21,12/09/21
Doomed,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.25,4.4,12/09/21,12/09/21
Son of A Peach,Kalona Brewing Company,Fruit Beer,3,3.6,12/07/21,12/07/21
Comfy Pants,Lion Bridge Brewing Company,Winter Warmer,3.5,3.79,12/06/21,12/06/21
Foggy Day IPA,North Coast Brewing Company,IPA - American,3.5,3.76,12/06/21,12/06/21
Acme California IPA,North Coast Brewing Company,IPA - American,3.5,3.44,12/06/21,12/06/21
Pinkies Out - Weller Bourbon Barrel-Aged Pointer Brown,Court Avenue Brewing Company,Brown Ale - English,2.25,3.78,12/05/21,12/05/21
Royal Eddy,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.13,12/05/21,12/05/21
Montana Helles Lager,Bayern Brewing,Lager - Helles,3.5,3.55,12/05/21,12/05/21
Wake Up Iowa,Backpocket Brewing,Stout - Coffee,3.5,3.71,12/04/21,12/04/21
Imperial Banshee,ReUnion Brewery,Stout - Imperial / Double,4,4.04,12/04/21,12/04/21
