Beer,Brewery,Style,YourRating,GlobalRating
Nothing Gained,Lua Brewing,Sour - Fruited,4.25,4.36
Barrel Aged Aurox Imperial Stout -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,4.2
Witch's Broom,Toppling Goliath Brewing Co.,IPA - Imperial / Double,3.5,4.01
Oktoberfest,Barn Town Brewing,Märzen,3.25,3.63
Buffalo Snot,Mt. Rushmore Brewing Company,Stout - Oatmeal,3,3.63
Traditional Oatmeal Stout,Barn Town Brewing,Stout - Oatmeal,3.75,3.78
Aww Shucks,Barn Town Brewing,Sour - Fruited,3.75,4.03
Caramel Apple GF Sour,Barn Town Brewing,Sour - Fruited,3.75,4.12
Ass In the Sand,Barn Town Brewing,Sour - Fruited,4,4.01
Pain Killer,Barn Town Brewing,Gluten-Free,3.25,4
Lick the Spoon,White Elm Brewing Company,Stout - Imperial / Double Milk,4.25,4.17
Madagascar,4 Hands Brewing Company,Stout - Imperial / Double Milk,4.5,4.34
Hazelnut Imperial Stout (2021),Untitled Art,Stout - Imperial / Double Milk,4,4.12
"Frubulous - Raspberry, Orange, Lime & Sherbert",Deciduous Brewing Company,Sour - Fruited,4.5,4.27
STRAWBERRY BANANA,Smooj,Hard Seltzer,3.25,4.32
Everybody Love Everybody,Drekker Brewing Company,Sour - Smoothie / Pastry,3.75,4.17
Lilith's Brethren,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.15
Dire Wolf Yub Nub,Wolf's Ridge Brewing,Stout - Russian Imperial,4,4.16
Helldorado (2016),Firestone Walker Brewing Company,Barleywine - American,2.5,4.22
"Barrel Aged Cicada Killer – Coffee, Macadamia Nut, & Chocolate",Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.41
The Abyss (2010),Deschutes Brewery,Stout - Imperial / Double,2,4.41
Bourbon County Brand Special #4 Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double Oatmeal,4.25,4.4
Fresh Batch Series: S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.25,4.15
Ol’ Griz Barleywine (Barrel Aged) 2020,Boone Valley Brewing Company,Barleywine - American,1.75,4.08
Approaching Entropy: 001,Drekker Brewing Company,Stout - Imperial / Double Milk,4.25,4.27
Fuzz Buzz,Barn Town Brewing,Mead - Braggot,4,4.04
Juicy Wagon,Uptown Garage Brewing Company,IPA - New England / Hazy,3.75,3.73
5X Stout,Five Threads Brewing Company,Stout - Other,3.75,4
Bourbon Barrel-Aged Imperial Stout (2021),Westbound & Down,Stout - Imperial / Double,4.25,4.42
Space Trash,Newgrass Brewing Co.,Sour - Smoothie / Pastry,3,4.27
"DUMB FRUIT 4 - PASSION FRUIT, RASPBERRY, MANGO, COCONUT MACAROON",Evil Twin Brewing NYC,Sour - Fruited,4.25,4.39
Resting Peach Face,903 Brewers,Sour - Fruited Berliner Weisse,4,4.14
Go Wide Series 001 - Vietnam,Kinship Brewing Co.,Lager - Japanese Rice,3,3.79
"Oh, Billy.",Kinship Brewing Co.,Pale Ale - American,3.75,3.71
Kinfest,Kinship Brewing Co.,Festbier,3.5,3.7
Barrel Aged Wisconsin Stout (2021),Untitled Art,Stout - Imperial / Double Milk,4.25,4.25
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch V (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.19
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch II (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4,4.09
Traeblod,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.09
Bakery: Boysenberry Pie,The Bruery,Stout - Imperial / Double Pastry,3,3.93
"Jammy Pants (Raspberry, Cherry and Lime)",Great Notion Brewing,Sour - Fruited,3.5,4.13
Smeerolie Coconut Milkshake (2021),Moersleutel Craft Brewery,Stout - Imperial / Double Milk,4.25,4.02
Mai Tai,903 Brewers,Sour - Fruited Berliner Weisse,4.25,4.18
Flat Earth Double NEIPA,Masthead Brewing Company,IPA - Imperial / Double New England / Hazy,4.25,4.2
HELP>SLIP>HAZY,Source Brewing,IPA - Imperial / Double New England / Hazy,4.25,4.26
Into Nothingness,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31
Super Fractal Kangaroo Set,Equilibrium Brewery,IPA - Triple,4.25,4.34
Tired But Wired,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.5,4.44
The Sacrifice,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.47
Beer Geek S’mores Shake,Mikkeller Brewing San Diego,Stout - Imperial / Double Pastry,3.25,3.68
Dessert Cart - S'mores,Mountains Walking Brewery,Stout - Imperial / Double Pastry,4.25,4.16
Player Haters Ball,Weathered Souls Brewing Co.,Stout - Imperial / Double,4,4.09
Peanut Butter Volcano,Ferndale Project,Stout - Imperial / Double,4,4.1
Single Origin,4 Hands Brewing Company,Stout - Imperial / Double,3.75,4.15
Mexican Cake,Westbrook Brewing Co.,Stout - Imperial / Double,4.25,4.27
Wednesday (2020),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.46
Dark Hollow,Blue Mountain Brewery,Stout - Imperial / Double,4,4
Sticky Icky,The Brewing Projekt,Stout - Imperial / Double Milk,4,4.1
Coconut Pie Face,Revision Brewing Company,Stout - Imperial / Double Pastry,4,4.31
"TO THE MILKY WAY & BACK II - RASPBERRY, STRAWBERRY, BLACKBERRY, VANILLA",Evil Twin Brewing NYC,IPA - Milkshake,4.75,4.43
CHONK Strawberry & White Chocolate,Drekker Brewing Company,Sour - Fruited,4,4.25
Rwanda French Press,Weathered Souls Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.21
Hot Dog Time Machine,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4,4.08
Barrel Aged Pecan Porter,Millstream Brewing,Porter - Other,3.5,3.93
Blackberry American Wild Ale,Lion Bridge Brewing Company,Sour - Fruited,2.5,3.71
Cran-Orange Wheat,Brightside Aleworks,Wheat Beer - American Pale Wheat,3.75,3.78
Keg of Cookies,Peace Tree Brewing Company,Lager - American,3.75,3.74
Grapefruit IPA,Back Road Brewery,IPA - American,2.5,3.2
Blueberry Muffin,Second State Brewing,Fruit Beer,3.5,3.65
Birthday Bourbon County Brand Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.59
Cruda Ayuda,Isla Brewing Company,Hard Ginger Beer,3.5,3.49
Tesoro Pirata,Isla Brewing Company,Porter - Other,3.5,3.62
Mucho Macho,Isla Brewing Company,IPA - Imperial / Double,3.5,3.74
La Mordida,Isla Brewing Company,IPA - American,3,3.67
Playa Norte,Isla Brewing Company,Pale Ale - American,3,3.57
Jamaica Miel Loco,Isla Brewing Company,Gluten-Free,4,3.57
Claro Que Si,Isla Brewing Company,Blonde Ale,3.5,3.49
Woodbooger Belgian-Style Brown Ale,Strangeways Brewing,Brown Ale - Belgian,3.5,3.62
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,3.5,3.6
Exit 3 - Blueberry Braggot,Flying Fish Brewing Co.,Mead - Braggot,2.75,3.63
90/~ Wee Heavy,Belhaven Brewery,Scotch Ale / Wee Heavy,2.75,3.69
Big Ed,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.29
Soothsayer,Lua Brewing,IPA - Imperial / Double New England / Hazy,4,4.22
Raspberry Main Squeeze,Lake Time Brewery,Fruit Beer,3.5,3.46
Pucker Up Right Meow Vol. 2 Cherry Pie,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.92
Victory Dance,SingleSpeed Brewing Company,IPA - American,4,3.8
Lontra IPA,Alluvial Brewing Company,IPA - New England / Hazy,4,4.03
Mahalo Pineapple Radler,Front Street Brewery (IA),Shandy / Radler,3.75,3.84
Bikini Bottom Pineapple Wheat,5ive Cities Brewing,Fruit Beer,3.75,3.9
Sunny,Peace Tree Brewing Company,Belgian Blonde,3.5,3.44
Red Rambler,Peace Tree Brewing Company,Red Ale - American Amber / Red,3.5,3.51
Lake Loop,Peace Tree Brewing Company,Pale Ale - American,3.5,3.64
Peace Tree Stout,Peace Tree Brewing Company,Stout - American,3.75,3.81
Mile Long Lager,Peace Tree Brewing Company,Lager - Pale,3.5,3.52
War Tree Bananza Stout,Peace Tree Brewing Company,Stout - American,3.75,3.67
4 Wide Wheat,Peace Tree Brewing Company,Wheat Beer - American Pale Wheat,3.5,3.62
Sour Cherry Gose,Peace Tree Brewing Company,Sour - Fruited Gose,3.5,3.77
TV Static (Seltzer),1717 Brewing Company,Hard Seltzer,3.5,3.72
1000 Rated,1717 Brewing Company,Pale Ale - American,3.75,3.77
Juicy IPA,1717 Brewing Company,IPA - New England / Hazy,3.5,3.56
Cream Ale,1717 Brewing Company,Cream Ale,3,3.59
Des Moines Rugger,1717 Brewing Company,Blonde Ale,3.75,3.51
Juice Box Summer Ale,1717 Brewing Company,Shandy / Radler,3.5,3.36
Baby Girl,Lua Brewing,Sour - Fruited,4,4.18
Spooky Girl,Lua Brewing,Sour - Fruited,4.5,4.25
Canadian Tuxedo,Barn Town Brewing,Stout - Imperial / Double Milk,4,4.04
Dunkel,Warsteiner,Lager - Munich Dunkel,3.5,3.64
Guinness Draught,Guinness,Stout - Irish Dry,4,3.77
Mahou Cinco Estrellas,Grupo Mahou-San Miguel,Lager - Pale,3,2.95
Dusk Till Dusk (2020),Jailbreak Brewing Company,Stout - Imperial / Double,4.25,4.3
Marvoloso 2020: V08,Commonwealth Brewing Company,Stout - Imperial / Double Pastry,4.25,4.34
Broken Branch,Barn Town Brewing,IPA - Imperial / Double New England / Hazy,3.75,3.89
Draft,Bold Rock Hard Cider,Cider - Traditional / Apfelwein,3.5,3.63
Sum'r - Summer Ale,Uinta Brewing Company,Blonde Ale,3.5,3.31
Mad Ear,Trinity Brewing Co. (Colorado),Farmhouse Ale - Bière de Garde,2,3.63
Long Black Veil® (2021),Port City Brewing,IPA - Black / Cascadian Dark Ale,3.5,3.88
Schwartz Bier Black Lager,Devils Backbone Brewing Company,Schwarzbier,3.5,3.67
Weekend Lager,Alewerks Brewing Company,Lager - Helles,3.5,3.54
Richmond Lager,Hardywood Park Craft Brewery,Lager - Pale,3.5,3.49
Glitter Bomb,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.19
LOL.,Pulpit Rock Brewing Company,Stout - Imperial / Double Pastry,4.25,4.46
Exit 1: Bayshore Oyster Stout,Flying Fish Brewing Co.,Stout - Oyster,2,3.68
Pastrytown 2021 - Chocolate Macadamia Nut,Other Half Brewing Co.,Stout - Imperial / Double,4,4.08
Cap’n Kooks,Other Half Brewing Co.,Stout - Imperial / Double Pastry,4,4.25
Bourbon Barrel Aged Dark Star: Coffee Cacao Vanilla (2021),Fremont Brewing,Stout - Imperial / Double Oatmeal,4.5,4.39
Dessert Cart - Sour Cinnabon,Mountains Walking Brewery,Stout - Imperial / Double Pastry,3.75,3.95
Barrel-Aged Pastry Stout - Maple Granola,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.34
Cloud City ,Firetrucker Brewery,IPA - New England / Hazy,3.75,3.63
Mango Cart,Golden Road Brewing,Fruit Beer,3.75,3.8
Wild Herd,Goose Island Beer Co.,Kölsch,3.75,3.51
The Real Slim Shandy,Barn Town Brewing,Shandy / Radler,3.5,3.67
Language of Thunder Cumulus (2020),TrimTab Brewing Co.,Stout - Imperial / Double,4,4.18
Drunken Mornings,Brothers Craft Brewing,Stout - Imperial / Double Coffee,2.5,4.01
Bubba,Backpocket Brewing,IPA - New England / Hazy,4,3.88
Easy Eddy,Big Grove Brewery,IPA - New England / Hazy,3.5,3.94
Cake Batter Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,3.71
Local Bubbles: Cherry Bomb,Barn Town Brewing,Hard Seltzer,3,3.72
Driveway Drinker,Barn Town Brewing,Lager - American,3.5,3.69
Double Chocolate Fudgy Brownie Stout,Untitled Art,Stout - Imperial / Double Pastry,4.25,4.29
Exit 16 - Double IPA,Flying Fish Brewing Co.,IPA - Imperial / Double,3.75,3.76
Barrel Aged Still Kooks,Other Half Brewing Co.,Stout - Imperial / Double,4.5,4.17
Barrel Aged Baltic Porter (2020),Saltfire Brewing Co,Porter - Baltic,4,4.21
Bud Light Platinum,Anheuser-Busch,Malt Liquor,2,2.38
Rocket Pop Summer Sour,Barn Town Brewing,Sour - Fruited,3.75,4.08
Picnic on the Tarmac,Barn Town Brewing,IPA - New England / Hazy,4,4.05
Flamingo Fruit Fight,Bell's Brewery,Fruit Beer,3.75,3.65
"Ferryman's Chocolate Covered Cherries, Russian Imperial Stout W/ Cherries, Cacao, & Vanilla",Confluence Brewing Company,Stout - Russian Imperial,2.75,3.85
El Guapo Agave IPA,O'Connor Brewing Co.,IPA - American,3,3.66
Loved By The Sun,Devils Backbone Brewing Company,Fruit Beer,3.5,3.54
Kentucky Bourbon Barrel Strawberry Ale,Lexington Brewing & Distilling Co.,Fruit Beer,2.5,3.55
Tacos And Hash,Lua Brewing,IPA - New England / Hazy,4,4.27
Yard House Honey Blonde,Yard House,Honey Beer,3.5,3.48
Yard House Golden Pilsner,Yard House,Pilsner - Other,3.5,3.42
Yard House White Ale,Yard House,Wheat Beer - Witbier / Blanche,3.5,3.49
Yard House Belgian Golden,Yard House,Belgian Strong Golden Ale,2.75,3.53
Yard House Belgian Amber Tripel,Yard House,Belgian Tripel,3.5,3.54
Oriole,Brookeville Beer Farm,Pale Ale - American,3,3.6
Corny Uncle,Brookeville Beer Farm,Lager - Pale,3.5,3.52
BBF Hazy IPA,Brookeville Beer Farm,IPA - American,3.5,3.72
McDonnell's Pub Irish Stout,Brookeville Beer Farm,Stout - Irish Dry,3.75,3.79
Bet the Farm - Race 2,Brookeville Beer Farm,Pale Ale - American,3.5,3.62
Chillin Watermelon,Brookeville Beer Farm,Hard Seltzer,3.5,3.49
Yellow Finch,Brookeville Beer Farm,Fruit Beer,3.75,3.61
Happenchance,Brookeville Beer Farm,Wheat Beer - Witbier / Blanche,3.5,3.52
The Main Course,Lua Brewing,Sour - Other,4.5,4.4
OG Duckies,Lua Brewing,IPA - Imperial / Double,4.25,4.19
Pineapple Papaya Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19
Amstel Light,Amstel Bier,Lager - American Light,3.5,2.7
Things We Don’t Say,Barn Town Brewing,IPA - New England / Hazy,4,3.92
Helloha,Barn Town Brewing,Sour - Fruited,3.25,3.86
Cryo Citra Neon,Barn Town Brewing,IPA - New England / Hazy,4.25,4.03
Weihenstephaner Kristallweissbier,Bayerische Staatsbrauerei Weihenstephan,Wheat Beer - Kristallweizen,3.5,3.69
Life For a Puppy Shouldn't Be So Ruff,Transient Artisan Ales,Stout - Imperial / Double,4.25,4.29
Weihenstephaner Vitus,Bayerische Staatsbrauerei Weihenstephan,Bock - Weizenbock,3.75,3.85
Cuvee - Just Strawberry (2021),Cycle Brewing Company,Stout - Imperial / Double,4,4.05
Stone Neverending Haze IPA,Stone Brewing,IPA - Session,3.75,3.62
312 Lemonade Shandy,Goose Island Beer Co.,Shandy / Radler,2.5,3.47
Weihenstephaner Hefeweissbier Dunkel,Bayerische Staatsbrauerei Weihenstephan,Wheat Beer - Dunkelweizen,3.5,3.76
Into the Mist,Transient Artisan Ales,Barleywine - American,2.75,3.78
"Ferryman's German Chocolate, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao & Coconut",Confluence Brewing Company,Stout - Russian Imperial,4.5,4.25
Honey Truncheon,Fenceline Beer Lab,Belgian Strong Dark Ale,4,3.78
Burn the Boats Brown (w/ Hazelnut),Fenceline Beer Lab,Brown Ale - American,4,3.85
Double Kickback,Fenceline Beer Lab,IPA - Imperial / Double,4,3.91
Joe's Your Uncle,Fenceline Beer Lab,IPA - New England / Hazy,3.75,3.58
Queen Whale Imperial Pale Ale,Fenceline Beer Lab,Pale Ale - American,3.5,3.73
Blessing Mimosa,Fenceline Beer Lab,Blonde Ale,4,3.67
Pelican,Fenceline Beer Lab,Farmhouse Ale - Saison,3.75,3.68
First Time Pale Ale,Farmhand Brewing Company,Pale Ale - American,4,N/A
Honey Wheat,Farmhand Brewing Company,Wheat Beer - American Pale Wheat,4,N/A
Sent By Liars,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.51
Barrel Aged No Cake,Transient Artisan Ales,Stout - Imperial / Double Oatmeal,4.25,4.42
Summer Shandy,Jacob Leinenkugel Brewing Company,Shandy / Radler,4,3.52
Stone Dayfall Belgian White,Stone Brewing,Wheat Beer - Witbier / Blanche,3.75,3.6
Bugs Buckley,Transient Artisan Ales,Stout - Imperial / Double Pastry,4,4.16
Sprankle,Transient Artisan Ales,Sour - Fruited,4.5,4.09
Plurple,Transient Artisan Ales,Sour - Fruited,4.5,4.12
Vanilla Bean Blonde Ale,Infusion Brewing Company,Blonde Ale,3.5,3.81
Strawberry Cherry Swirl,Big Grove Brewery,Sour - Fruited,4,3.93
Don't Be Amber,Farmhand Brewing Company,Brown Ale - American,3.75,3.73
Hay Z IPA,Farmhand Brewing Company,IPA - New England / Hazy,4,3.77
Cody Red,Farmhand Brewing Company,Red Ale - Irish,3.25,3.97
German Chocolate Cake Stout,Farmhand Brewing Company,Stout - Milk / Sweet,4,3.93
Zimm Light,Farmhand Brewing Company,Lager - American Light,4,3.61
Oude Kriek,pFriem Family Brewers,Lambic - Kriek,2,4.13
Barrel-Aged Oort,Ecliptic Brewing,Stout - Imperial / Double,4,4.17
Barrel Aged The Visitor Imperial Stout (Malted Milk Ball) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,3.75,3.86
Mixed Cuvees (2021),Cycle Brewing Company,Stout - Imperial / Double,4,4.36
Beer For Sandwiches,Barn Town Brewing,Lager - American,3.75,3.61
Wonder Bar,Barn Town Brewing,Stout - Milk / Sweet,4,3.96
Double Berry Shake,Great Notion Brewing,Sour - Fruited,5,4.35
Ada County Stout,Woodland Empire Ale Craft,Stout - Imperial / Double,4,4.16
Bourbon Barrel Raspberry Stout with Vanilla Beans,Hardywood Park Craft Brewery,Stout - Imperial / Double,4,4.05
Main Boss,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,3.75,3.86
The Explorer,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.31
Darkness (2021) Barrel-Aged,Surly Brewing Company,Stout - Russian Imperial,4,4.4
Mornin' Delight (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,5,4.54
Barrel Aged Cicada Killer – Maple Cinnamon (2020),Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.27
Beer Geek 'The Joy of Shaking IT',Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.2
Coquito,Funky Buddha Brewery,Cream Ale,2.75,3.77
Juicy Gossip,Bell's Brewery,Pale Ale - American,3.75,3.7
Bankrupt On Selling,Lua Brewing,Sour - Fruited,4.5,4.23
Life Like Weeds,Lua Brewing,Sour - Fruited,4.5,4.14
Red Apple Cider,Spire Mountain Cider,Cider - Traditional / Apfelwein,3.5,3.47
I.C. Light,Pittsburgh Brewing Company,Lager - American Light,3.5,2.87
Fish Tale Hodgson's Bitter End IPA,Fish Brewing Company,IPA - American,3.5,3.47
Sandbar Sunday,Islamorada Beer Company,Wheat Beer - American Pale Wheat,3,3.48
Imperial Golden Nugget,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.18
Black & Tan,Yuengling Brewery,Black & Tan,3.5,3.44
Winter Ale,Blue Point Brewing Company,Winter Ale,3.5,3.38
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch IV (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.27
Blithering Idiot,Weyerbacher Brewing Company,Barleywine - English,3,3.74
That's Not A Knife,Barn Town Brewing,IPA - American,3.75,3.76
Mango Dodger (Rye Barrel Aged Rock Dodger Double IPA With Mango),Confluence Brewing Company,IPA - Imperial / Double,3,3.91
India Pale Ale (IPA),Sprecher Brewing Company,IPA - English,3,3.37
Immoderate,Lua Brewing,Stout - Imperial / Double,4.5,4.49
Tiny Beam of Light,Lua Brewing,Pale Ale - American,4,4.15
Blackbeard's Breakfast,Heavy Seas Beer,Porter - Imperial / Double Coffee,4,4.02
Black Belle 2020 Barrel Aged Imperial Stout,Blackstone Brewing Company,Stout - Imperial / Double,4.25,4.23
Jule Malt,To Øl,Stout - Imperial / Double Milk,4,4.03
Deep Devil ,Shipyard Brewing Company,Brown Ale - American,3.5,3.55
Islamorada Ale (Citrus Ale),Islamorada Beer Company,Blonde Ale,3.5,3.54
Hoax (2020),Hardywood Park Craft Brewery,Stout - Imperial / Double Milk,4.25,4.31
Charles Thiccens,Gezellig Brewing Company,Porter - Imperial / Double,4,4.05
Tropical Trike,Fenders Brewing,IPA - New England / Hazy,3.5,3.86
Mother Pumpkin Ale,Blue Point Brewing Company,Pumpkin / Yam Beer,3.5,3.41
Dark Age,Wicked Weed Brewing,Stout - Imperial / Double,4.25,4.19
Colts Double Chocolate Raspberry Stout,Tennessee Brew Works,Stout - American,3.5,3.7
Gingham,Jackie O's Brewery,Sour - Fruited,2,4.09
Amber,Abita Brewing Company,Lager - American Amber / Red,3.5,3.42
Bigfoot,Sierra Nevada Brewing Co.,Barleywine - American,2.5,3.66
Racer 5 IPA,Bear Republic Brewing Co.,IPA - American,3.75,3.85
Mangolandia,Veza Sur Brewing Co.,Wheat Beer - Other,3.75,3.68
#9,Magic Hat Brewing Company,Pale Ale - American,3,3.56
90 Minute Imperial IPA,Dogfish Head Craft Brewery,IPA - Imperial / Double,4,4.05
Key West Sunset Ale,Carib Brewery USA,Red Ale - American Amber / Red,3.5,3.37
Channel Marker,Islamorada Beer Company,IPA - Session,3.5,3.55
Old Man Winter Ale,Southern Tier Brewing Company,Winter Ale,3.25,3.5
Barrel Aged Aurox Imperial Stout (Brownie Batter) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,3,4.13
Energy Equals,Equilibrium Brewery,IPA - Imperial / Double,4.25,4.2
Chocolate Bunny Stout,Rhinelander Brewing Company,Stout - American,3,3.18
Cooperage Camp Fire Black Lager,Confluence Brewing Company,Lager - Strong,0.25,N/A
Barrel Aged Aurox Imperial Stout (Sumatran Coffee & Maple) -- Batch II (3/13/2019),Alluvial Brewing Company,Stout - Imperial / Double,4.75,4.38
Banana Bread Beer,Eagle Brewery (formerly Charles Wells),Fruit Beer,3.5,3.55
"Bourbon Barrel Monster Cookie Stout, Bourbon Barrel Aged Stout W/ Chocolate & Peanut Butter",Confluence Brewing Company,Stout - Other,4.25,4.28
Tsingtao,Tsingtao (青岛啤酒) Brewery,Lager - Pale,3.25,2.88
Flower Sour,Casa Bruja Brewing Co.,Sour - Other,1,3.6
Beatnik Sour,Exile Brewing Company,Sour - Berliner Weisse,3.75,3.7
Smoothie Bubbs - Berry Blast,Barn Town Brewing,Hard Seltzer,4.25,4.36
UNIFY - Hazy IPA,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.11
Banana Cream Pie Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99
Hawaiiowan Punch,Barn Town Brewing,Sour - Fruited,3.75,4.1
Stavropol ,Confluence Brewing Company,Stout - Russian Imperial,3,3.87
"Fire, Skulls & Money",Toppling Goliath Brewing Co.,IPA - New England / Hazy,4.25,4.22
The Craic ,Harpoon Brewery,IPA - Red,3.5,3.56
Young's Double Chocolate Stout,Eagle Brewery (formerly Charles Wells),Stout - Milk / Sweet,3,3.67
Dark Charge - Coffee Vanilla (2020),Braxton Brewing Company,Stout - Imperial / Double,4.25,3.89
Idiom - Cacao,Lua Brewing,Porter - English,3.5,3.85
Idiom - Coffee,Lua Brewing,Porter - English,3.75,3.85
Idiom - Peanut,Lua Brewing,Porter - English,4,4.13
Idiom - Coconut,Lua Brewing,Porter - English,4.25,4.07
Latte Perk Up Porter,Brightside Aleworks,Porter - American,4.25,4.07
Caramel Pecan GAZPROM! (2021),Lion Bridge Brewing Company,Stout - Russian Imperial,4.5,4.32
Abraxas,Perennial Artisan Ales,Stout - Imperial / Double,4.25,4.41
Big Chungus Scottish-Style Wee Heavy Ale W/ Heather,Confluence Brewing Company,Scotch Ale / Wee Heavy,4,3.98
Mood - Imperial Stout,Brightside Aleworks,Stout - Imperial / Double Pastry,3.75,3.78
Honeycrisp,Wilson's Orchard Hard Cider,Cider - Traditional / Apfelwein,3,3.74
Bourbon County Brand Café de Olla Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double Coffee,4.25,4.36
Bourbon County Brand Vanilla Stout (2018),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.52
Bourbon County Brand Stout (2017) 14.1%,Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.48
Viking Funeral,Four Fathers Brewing,Stout - Imperial / Double Milk,0.25,4.02
Cold Snap,Samuel Adams,Wheat Beer - Witbier / Blanche,3.75,3.48
Fresh IIPA V50,Hubbard's Cave,IPA - Imperial / Double,3.75,3.97
Jesus On A Forklift,Exile Brewing Company,Stout - Imperial / Double,4,4.06
Shiner Candied Pecan Porter,Spoetzl Brewery,Porter - Other,3.75,3.63
Again,Lua Brewing,Stout - Imperial / Double,4.75,4.67
Nitro Merlin,Firestone Walker Brewing Company,Stout - Milk / Sweet,3.75,3.9
Señor Rhino,Alesong Brewing & Blending,Stout - Imperial / Double,4,4.32
Barrel Aged 12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double Pastry,5,4.44
Not Your Kind of People,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.1
Vanilla Bean Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38
Maple Syrup Bourbon Barrel Aged OFYMD (2020),Westbrook Brewing Co.,Stout - Pastry,4.25,4.23
Nut Brown Ale,AleSmith Brewing Company,Brown Ale - English,3.5,3.73
Waffle Cone - Neapolitan,Main & Mill Brewing Company,Stout - Imperial / Double Pastry,4.5,4.28
Snugglebug,Smog City Brewing Co.,Sour - Fruited,0.25,4.14
Dark Charge - S'mores (2020),Braxton Brewing Company,Stout - Pastry,4,3.84
Cranberry Orange,Jefferson County Ciderworks,Cider - Other Fruit,2,3.68
Pour-Over Porter,Pulpit Rock Brewing Company,Porter - American,3.75,4.06
'Tis the Saison,Kalona Brewing Company,Spiced / Herbed Beer,3.25,3.38
Chocolate Blood Orange Saison,Reclaimed Rails Brewing Company,Farmhouse Ale - Saison,3.75,3.41
Get A Little Hazy,Peace Tree Brewing Company,IPA - New England / Hazy,4,3.8
Bitter Elf,West O Beer,IPA - American,3.5,3.67
Schokolade Bock,Millstream Brewing,Bock - Single / Traditional,3.75,3.56
Ichiban (Ichiban Shibori) (一番搾り),Kirin Brewery Company,Lager - Pale,3.5,3.14
Something So Sincere (2020),Casita Brewing Company,Stout - Imperial / Double Pastry,4,3.94
Barrel Aged The Visitor Imperial Stout (Cinnamon Roll) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.3
Brewer's Reserve Bourbon Barrel Cherry Stout,Central Waters Brewing Company,Stout - Imperial / Double,3.75,3.93
Barrel Aged Aurox Imperial Stout (Triple Vanilla) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,3.97
Quiet,Lua Brewing,Stout - Other,4.5,4.49
Cherry Fluff,Dimensional Brewing Company,Sour - Fruited,4,4.11
Pleasant Street Cream Ale,Limestone Brewers,Cream Ale,3.75,3.56
Brolo Ties,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.04
Jumbled Up,Dimensional Brewing Company,Stout - Coffee,4.25,4.01
Digital Distraction,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.1
